Country,Projection,Year,Estimate,Year,Estimate,Year
Singapore *,"156,755",2025,"150,689",2024,"106,000",2021
Luxembourg *,"152,915",2025,"150,772",2024,"128,200",2024
Liechtenstein *,—,—,"139,100",2009,,
Macau *,"134,042",2025,"128,268",2024,"64,800",2021
Ireland *,"134,000",2025,"131,175",2024,"115,300",2024
Monaco *,—,—,"115,700",2015,,
Qatar *,"121,605",2025,"126,110",2024,"92,200",2021
Bermuda *,—,"119,719",2024,"80,300",2021,
Norway *,"107,892",2025,"101,032",2024,"91,100",2024
Switzerland *,"97,581",2025,"93,819",2024,"82,000",2024
Brunei *,"95,758",2025,"90,007",2024,"60,100",2021
Guyana *,"94,258",2025,"79,906",2024,"21,900",2021
United States *,"89,105",2025,"85,810",2024,"75,500",2024
Cayman Islands *,—,"86,689",2024,"67,500",2021,
Isle of Man *,—,—,"84,600",2014,,
Denmark *,"88,934",2025,"79,514",2024,"73,700",2024
Netherlands *,"84,566",2025,"84,219",2024,"56,600",2021
Taiwan *,"84,082",2025,—,"47,800",2019,
San Marino *,"83,031",2025,"65,718",2021,"56,400",2020
United Arab Emirates *,"81,676",2025,"77,959",2024,"69,700",2021
Iceland *,"81,215",2025,"78,259",2024,"53,600",2020
Faroe Islands *,—,"78,165",2024,"40,000",2014,
Hong Kong *,"77,942",2025,"75,216",2024,"60,000",2021
Malta *,"76,705",2025,"67,364",2024,"44,700",2021
Belgium *,"75,846",2025,"72,126",2024,"51,700",2021
Sweden *,"74,902",2025,"71,031",2024,"53,600",2021
Austria *,"74,372",2025,"71,193",2024,"54,100",2021
Germany *,"72,599",2025,"72,300",2024,"53,100",2021
Falkland Islands *,—,—,"70,800",2015,,
Australia *,"72,138",2025,"71,193",2024,"60,100",2024
Andorra *,"72,059",2025,"71,588",2023,"49,900",2015
Bahrain *,"67,795",2025,"67,211",2024,"49,400",2021
Finland *,"66,496",2025,"64,091",2024,"48,800",2021
Canada *,"65,707",2025,"65,463",2024,"47,900",2021
France *,"65,626",2025,"61,322",2024,"45,000",2021
South Korea *,"65,112",2025,"54,033",2023,"44,200",2021
Cyprus *,"65,088",[n 1]2025,"61,240",[n 1]2024,"41,700",[n 1]2021
European Union *[n 2],"64,545",2025,"62,433",2024,"44,100",2021
United Kingdom *,"63,661",2025,"60,620",2024,"45,000",2021
Gibraltar *,—,—,"61,700",2014,,
Italy *,"63,076",2025,"60,847",2024,"41,900",2021
Saudi Arabia *,"61,923",2025,"71,243",2024,"44,300",2021
Czech Republic *,"59,368",2025,"56,806",2024,"40,700",2020
Jersey *,—,—,"56,600",2016,,
Slovenia *,"57,985",2025,"56,531",2024,"40,000",2021
Lithuania *,"57,196",2025,"54,414",2024,"39,300",2021
Spain *,"56,555",2025,"56,926",2024,"37,900",2021
Israel *,"56,436",2025,"55,691",2024,"42,100",2021
New Zealand *,"55,450",2025,"55,094",2024,"42,900",2021
Poland *,"55,186",2025,"50,378",2024,"34,900",2021
Japan *,"54,677",2025,"51,685",2024,"40,800",2021
Guernsey *,—,—,"52,500",2014,,
Sint Maarten (Dutch part) *,—,"51,527",2023,"35,300",2018,
Croatia *,"51,442",2025,"48,575",2024,"31,600",2021
Kuwait *,"50,961",2025,"51,636",2024,"43,900",2020
Aruba *,"50,896",2025,"45,236",2022,"38,900",2021
Portugal *,"50,037",2025,"50,617",2024,"33,700",2021
Puerto Rico *,"50,772",2025,"50,156",2024,"32,600",2021
Estonia *,"49,671",2025,"49,334",2024,"38,700",2021
Russia *,"49,383",2025,"47,405",2024,"27,500",2022
Romania *,"49,213",2025,"48,712",2024,"30,800",2021
Hungary *,"48,600",2025,"47,636",2024,"33,600",2021
U.S. Virgin Islands *,—,"46,238",2021,"37,000",2016,
Saint Pierre and Miquelon *,—,—,"46,200",2006,,
Slovakia *,"47,425",2025,"47,181",2024,"31,900",2021
Greece *,"45,048",2025,"44,074",2024,"29,500",2021
Latvia *,"44,563",2025,"43,867",2024,"32,100",2021
Greenland *,—,—,"41,800",2015,,
Kazakhstan *,"44,446",2025,"40,813",2024,"26,100",2021
Panama *,"43,839",2025,"41,405",2024,"29,000",2021
Malaysia *,"43,473",2025,"38,729",2024,"26,300",2021
Turkey *,"42,451",2025,"43,932",2024,"31,500",2021
Oman *,"42,015",2025,"41,664",2024,"34,300",2021
Seychelles *,"42,009",2025,"33,239",2024,"28,800",2021
Bulgaria *,"41,901",2025,"41,086",2024,"24,400",2020
Bahamas *,"38,829",2025,"41,198",2024,"30,200",2021
New Caledonia *,—,—,"35,700",2021,,
Guam *,—,—,"35,600",2016,,
Uruguay *,"37,060",2025,"36,418",2024,"22,800",2021
Maldives *,"36,585",2025,"24,809",2023,"18,800",2021
Trinidad and Tobago *,"36,018",2025,"36,021",2024,"23,000",2021
British Virgin Islands *,—,—,"34,200",2017,,
Montserrat *,—,—,"34,000",2011,,
Chile *,"35,146",2025,"34,637",2024,"25,400",2021
Belarus *,"34,313",2025,"33,006",2024,"19,800",2021
Saint Kitts and Nevis *,"34,002",2025,"35,545",2024,"26,500",2021
Mauritius *,"33,954",2025,"31,051",2024,"21,000",2021
Montenegro *,"33,620",2025,"33,380",2024,"20,600",2021
Serbia *,"33,114",2025,"31,867",2024,"19,800",2021
Antigua and Barbuda *,"31,781",2025,"33,602",2024,"19,100",2021
Costa Rica *,"31,463",2025,"30,063",2024,"21,200",2021
Curaçao *,—,"30,716",2024,"20,800",2021,
Argentina *,"31,380",2025,"30,176",2024,"21,500",2021
Dominican Republic *,"30,875",2025,"27,541",2024,"18,600",2021
Georgia *,"30,749",[n 3]2025,"28,418",[n 3]2024,"15,500",[n 3]2021
North Macedonia *,"29,475",2025,"26,587",2024,"16,500",2021
China *,"28,978",[n 4]2025,"27,105",[n 5]2024,"17,600",[n 4]2021
Saint Lucia *,"28,840",2025,"27,567",2024,"13,000",2021
Turkmenistan *,"27,873",2025,"20,408",2024,"15,000",2019
Thailand *,"26,323",2025,"24,708",2024,"17,100",2021
Azerbaijan *,"26,235",2025,"25,089",2024,"14,400",2021
World,"25,591",[i]2025,"20,946",2022,"17,000",2021
Mexico *,"25,463",2025,"25,688",2024,"19,100",2021
Turks and Caicos Islands *,—,"24,820",2023,"18,500",2021,
Northern Mariana Islands *,—,—,"24,500",2016,,
Armenia *,"25,060",2025,"22,823",2024,"14,200",2021
Gabon *,"24,908",2025,"21,510",2024,"13,800",2021
Albania *,"23,405",2025,"23,488",2024,"14,500",2021
Barbados *,"23,269",2025,"22,672",2024,"13,800",2021
Brazil *,"23,239",2025,"22,333",2024,"14,100",2020
Bosnia and Herzegovina *,"22,831",2025,"21,971",2024,"15,700",2021
Suriname *,"22,439",2025,"22,067",2024,"14,800",2021
Colombia *,"22,421",2025,"21,495",2024,"14,600",2021
Grenada *,"21,672",2025,"20,167",2024,"13,700",2021
Egypt *,"21,668",2025,"19,094",2024,"11,600",2021
Saint Vincent and the Grenadines *,"21,298",2025,"21,272",2024,"13,700",2021
Ukraine *,"20,999",[n 6]2025,"18,551",[n 6]2024,"12,900",[n 6]2021
Mongolia *,"20,448",2025,"19,098",2024,"11,700",2021
Kosovo *,"20,383",2025,"18,620",2024,"11,900",2021
Equatorial Guinea *,"20,165",2025,"17,567",2024,"14,600",2021
Iran *,"19,957",2025,"18,442",2024,"12,400",2020
Moldova *,"19,678",[n 7]2025,"18,717",[n 7]2024,"14,000",[n 7]2021
Saint Martin (French part) *,—,—,"19,300",2005,,
French Polynesia *,—,—,"18,600",2021,,
Dominica *,"19,584",2025,"21,301",2024,"10,900",2021
Paraguay *,"19,571",2025,"18,524",2024,"13,700",2021
Botswana *,"19,166",2025,"20,538",2024,"14,800",2021
Palau *,"18,344",2025,"17,532",2024,"13,800",2021
Peru *,"18,689",2025,"17,803",2024,"12,500",2021
Algeria *,"18,525",2025,"17,553",2024,"11,000",2021
Libya *,"17,758",2025,"13,954",2024,"22,000",2021
Bhutan *,"17,735",2025,"16,254",2023,"10,900",2021
Indonesia *,"17,612",2025,"16,448",2024,"11,900",2021
Vietnam *,"17,484",2025,"16,386",2024,"10,600",2021
Fiji *,"16,867",2025,"16,032",2024,"10,400",2021
Ecuador *,"16,578",2025,"15,840",2024,"10,700",2021
South Africa *,"15,989",2025,"15,458",2024,"13,300",2021
Belize *,"15,982",2025,"15,093",2024,"8,800",2021
Guatemala *,"15,634",2025,"14,369",2024,"8,900",2021
Sri Lanka *,—,"15,632",2024,"13,400",2021,
Cook Islands *,—,—,"15,600",2022,,
Iraq *,"15,178",2025,"14,464",2024,"9,000",2021
Tunisia *,"14,779",2025,"14,451",2024,"10,400",2021
El Salvador *,"13,753",2025,"13,264",2024,"9,100",2021
Eswatini *,"13,734",2025,"11,784",2024,"8,900",2021
Cuba *,—,—,"12,300",2016,,
Anguilla *,—,—,"12,200",2008,,
Philippines *,"12,935",2025,"11,794",2024,"8,100",2021
Lebanon *,—,"12,575",2023,"13,000",2021,
Jamaica *,"12,597",2025,"11,662",2024,"9,600",2021
Uzbekistan *,"12,462",2025,"11,879",2024,"7,700",2021
Namibia *,"12,373",2025,"11,687",2024,"9,100",2021
Cape Verde *,"12,255",[n 8]2025,"11,262",[n 8]2024,"6,100",[n 8]2021
India *,"12,132",2025,"11,159",2024,"6,600",2021
Bolivia *,"11,574",2025,"11,190",2024,"9,800",2024
American Samoa *,—,—,"11,200",2016,,
Niue *,—,—,"11,100",2021,,
Jordan *,"11,508",2025,"10,822",2024,"9,200",2021
Morocco *,"11,266",2025,"10,305",2024,"8,100",[n 9]2021
Nauru *,"11,149",2025,"14,326",2024,"11,900",2021
Bangladesh *,"10,265",2025,"9,646",2024,"5,900",2021
Angola *,"10,234",2025,"8,348",2024,"5,900",2021
Laos *,"10,125",2025,"9,788",2024,"7,800",2021
Djibouti *,"9,415",2025,"7,776",2024,"4,900",2021
Nicaragua *,"9,107",2025,"8,709",2024,"5,600",2021
Kyrgyzstan *,"8,781",2025,"8,009",2024,"4,800",2021
Mauritania *,"8,654",2025,"7,271",2024,"5,300",2021
Cambodia *,"8,646",2025,"7,970",2024,"4,400",2021
Ghana *,"8,417",2025,"8,027",2024,"5,400",2021
Venezuela *,"8,397",2025,"17,402",2011,"7,704",2018
"Saint Helena, Ascension andTristan da Cunha",—,—,"7,800",2010,,
Ivory Coast *,"8,111",2025,"7,654",2024,"5,300",2021
Tonga *,"8,091",2025,"7,852",2023,"6,100",2021
Honduras *,"7,927",2025,"7,486",2024,"5,600",2021
Marshall Islands *,"7,696",2024,"8,198",2024,"6,000",2021
Samoa *,"7,621",2025,"7,837",2024,"5,500",2021
Kenya *,"7,534",2025,"6,619",2024,"4,700",2021
Tuvalu *,"7,005",2025,"6,151",2024,"4,900",2021
Pakistan *,"6,951",2025,"6,287",2024,"5,200",2021
Nigeria *,"6,792",2025,"6,440",2024,"4,900",2021
Congo *,"6,593",2025,"7,026",2024,"3,200",2021
São Tomé and Príncipe *,"6,422",2025,"6,230",2024,"4,100",2020
Tokelau *,—,—,"6,004",2017,,
Tajikistan *,"6,048",2025,"5,406",2024,"3,900",2021
Myanmar *,"5,924",2025,"5,980",2024,"4,400",[n 10]2021
Cameroon *,"5,760",2025,"5,592",2024,"3,700",2021
Nepal *,"5,715",2025,"5,736",2024,"3,800",2021
Palestine,"5,612",[n 11]2023,"4,371",[n 11]2024,"5,600",[n 12]2021
Senegal *,"5,499",2025,"5,110",2024,"3,500",2021
Zimbabwe *,"5,407",2025,"3,921",2024,"2,100",2021
Timor-Leste *,"4,916",2025,"4,758",2024,"5,000",2021
Benin *,"4,788",2025,"4,435",2024,"3,300",2021
Micronesia *,"4,768",2025,"4,346",2024,"3,300",2021
Guinea *,"4,749",2025,"4,579",2024,"2,600",2021
Syria *,—,"4,650",2025,"4,200",2023,
Zambia *,"4,522",2025,"4,224",2024,"3,200",2021
Ethiopia *,"4,398",2025,"3,278",2024,"2,300",2021
Tanzania *,"4,371",2025,"4,220",2024,"2,600",2021
Rwanda *,"4,103",2025,"3,711",2024,"2,200",2021
Comoros *,"4,018",2025,"4,055",2024,"3,200",2021
Wallis and Futuna *,—,—,"3,800",2004,,
Uganda *,"3,896",2025,"3,276",2024,"2,200",2021
Papua New Guinea *,"3,757",2025,"4,889",2024,"3,700",2022
Kiribati *,"3,707",2025,"3,702",2024,"1,900",2021
Gambia,"3,688",2025,"3,445",2024,"2,100",2021
Sierra Leone *,"3,550",2025,"1,847",2023,"1,600",2021
Togo *,"3,473",2025,"3,239",2024,"2,100",2021
Lesotho *,"3,384",2025,"2,998",2024,"2,300",2021
Guinea-Bissau *,"3,279",2025,"3,053",2024,"1,800",2021
Haiti *,"3,042",2025,"2,999",2024,"2,900",2021
Chad *,"2,988",2025,"2,961",2024,"1,400",2021
Vanuatu *,"2,986",2025,"3,602",2023,"2,800",2021
Burkina Faso *,"2,978",2025,"2,896",2024,"2,200",2021
Mali *,"2,934",2025,"3,308",2024,"2,100",2021
Solomon Islands *,"2,713",2025,"2,872",2024,"2,400",2021
Sudan *,"2,336",2025,"2,127",2024,"3,700",2021
Afghanistan *,—,"2,201",2023,"1,500",2021,
Niger *,"2,096",2025,"2,015",2024,"1,200",2021
Madagascar *,"2,043",2025,"1,884",2024,"1,500",2021
Liberia *,"2,006",2025,"1,884",2024,"1,400",2021
Somalia *,"1,916",2025,"1,600",2024,"1,400",2024
DR Congo *,"1,884",2025,"1,710",2024,"1,100",2021
Eritrea *,—,"1,629",2011,"1,600",2017,
Malawi *,"1,778",2025,"1,859",2024,"1,500",2021
Mozambique *,"1,729",2025,"1,670",2024,"1,200",2021
Yemen *,"1,675",2025,"3,437",2013,"2,500",2017
North Korea *,—,—,"1,700",2015,,
Central African Republic *,"1,330",2025,"1,263",2024,"1,100",2024
Burundi *,"1,015",2025,950,2024,800,2024
South Sudan *,716,2025,"1,146",2015,"1,600",2017
